account_number,account_name,debit_balance,credit_balance
1000,Cash,293656.9,
1100,Accounts Receivable,34210.0,
1300,Prepaid Insurance,1309.0,
1310,Prepaid Software,,
1500,Equipment,95626.0,
1590,Accumulated Depreciation,,17531.36
2000,Accounts Payable,,34342.99
2100,Accrued Liabilities,,
2300,Payroll Liabilities,,33396.0
3000,Retained Earnings,,358206.92
4000,Patient Service Revenue,,217088.0
4100,Lab & Imaging Revenue,,19085.0
6000,Salaries Expense,151805.0,
6100,Rent Expense,13197.0,
6200,Advertising & Marketing,22536.01,
6350,Medical Supplies,22785.41,
6400,Insurance Expense,374.0,
6450,Software Expense,7478.0,
6500,Utilities Expense,8663.0,
6600,Professional Fees,14649.67,
6700,Office Supplies,8579.0,
6800,Depreciation Expense,4781.28,
6900,Bank Fees,,
7100,Interest Income,,
