account_number;account_name;debit_balance;credit_balance
1000;Cash;257623.65;
1100;Accounts Receivable;86671.0;
1300;Prepaid Insurance;882.0;
1310;Prepaid Software;372.0;
1400;Inventory;;45012.65
1500;Equipment;71683.0;
1590;Accumulated Depreciation;;22699.49
2000;Accounts Payable;;18001.15
2100;Accrued Liabilities;;
2300;Payroll Liabilities;;24707.0
3000;Retained Earnings;;313974.48
4000;Product Sales;;197749.0
4100;Shipping Income;;85067.0
5000;Cost of Goods Sold;99158.0;
5100;Freight & Shipping;10577.52;
6000;Salaries Expense;112317.0;
6100;Rent Expense;15615.0;
6200;Advertising & Marketing;17920.63;
6400;Insurance Expense;252.0;
6450;Software Expense;2411.0;
6500;Utilities Expense;2695.0;
6600;Professional Fees;22822.55;
6700;Office Supplies;3821.0;
6800;Depreciation Expense;2389.42;
6900;Bank Fees;;
7100;Interest Income;;
