account_number;account_name;apr_budget;may_budget;jun_budget
4000;Subscription Revenue;75318.0;115095.0;94220.0
4100;Professional Services Revenue;0.0;0.0;0.0
6000;Salaries Expense;79798.0;67761.0;68195.0
6100;Rent Expense;6414.0;6330.0;6201.0
6200;Advertising & Marketing;0.0;1434.0;5480.0
6300;Software Subscriptions;473.0;1057.0;0.0
6400;Insurance Expense;73.0;68.0;69.0
6450;Software Expense;9172.0;0.0;0.0
6500;Utilities Expense;8010.0;5346.0;9983.0
6600;Professional Fees;0.0;0.0;0.0
6700;Office Supplies;0.0;1588.0;2649.0
6800;Depreciation Expense;1673.8;1767.8;1709.8
6900;Bank Fees;0.0;0.0;0.0
7100;Interest Income;0.0;0.0;0.0
