account_number,account_name,debit_balance,credit_balance
1000,Cash,239481.93,
1100,Accounts Receivable,58133.0,
1300,Prepaid Insurance,728.0,
1310,Prepaid Software,,
1500,Equipment,130844.0,
1590,Accumulated Depreciation,,34891.68
2000,Accounts Payable,,37969.44
2100,Accrued Liabilities,,
2300,Payroll Liabilities,,32001.0
3000,Retained Earnings,,356093.28
4000,Consulting Revenue,,171648.0
4100,Retainer Revenue,,37438.0
6000,Salaries Expense,145470.0,
6100,Rent Expense,23568.0,
6200,Advertising & Marketing,17879.06,
6400,Insurance Expense,208.0,
6450,Software Expense,16076.0,
6500,Utilities Expense,644.0,
6600,Professional Fees,28956.22,
6700,Office Supplies,1511.0,
6800,Depreciation Expense,6542.19,
6900,Bank Fees,,
7100,Interest Income,,
