Date;transaction_description;amt;balance
05/31/2026;OPENING BALANCE;;27486.06
06/03/2026;DEPOSIT HARTWELL GROUP INV-2242;9432.0;36918.06
06/05/2026;CHECK #1012 HARBORSTONE;-10784.0;26134.06
06/05/2026;DEPOSIT MARLOWE  FIN INV-2243;14633.0;40767.06
06/08/2026;CHECK #1016 BYTEFIELD SYSTEMS;-936.0;39831.06
06/08/2026;DEPOSIT BIRCHFIELD FOODS;31393.0;71224.06
06/10/2026;DEPOSIT LONGMONT SYS INV-2244;24479.0;95703.06
06/12/2026;INCOMING WIRE - MEMBER CONTRIBUTION;10996.0;106699.06
06/15/2026;PAYROLL ACH BATCH;-32735.0;73964.06
06/27/2026;SERVICE FEE;-29.82;73934.24
06/30/2026;INTEREST CREDIT;37.39;73971.63
06/30/2026;ENDING BALANCE;;73971.63
