account_number,account_name,apr_budget,may_budget,jun_budget
4000,Subscription Revenue,25233.0,58442.0,51370.0
4100,Professional Services Revenue,16251.0,10984.0,14847.0
6000,Salaries Expense,49551.0,38244.0,41564.0
6100,Rent Expense,5834.0,5567.0,5808.0
6200,Advertising & Marketing,0.0,6000.0,2080.0
6300,Software Subscriptions,0.0,0.0,1935.0
6400,Insurance Expense,179.0,186.0,185.0
6450,Software Expense,1672.0,0.0,46.0
6500,Utilities Expense,4008.0,1681.0,1167.0
6600,Professional Fees,3923.0,2866.0,176.0
6700,Office Supplies,4302.0,0.0,8665.0
6800,Depreciation Expense,2558.73,2561.73,2599.73
6900,Bank Fees,0.0,0.0,0.0
7100,Interest Income,0.0,0.0,0.0
