account_number,account_name,apr_budget,may_budget,jun_budget
4000,Wholesale Sales,66776.0,47902.0,85374.26
4100,Delivery Fees,11104.0,51551.0,22452.0
5000,Cost of Goods Sold,31681.0,25480.0,43678.0
5100,Freight & Shipping,4629.0,587.0,74.0
6000,Salaries Expense,47230.0,78914.0,70819.0
6100,Rent Expense,6526.0,6480.0,6572.0
6200,Advertising & Marketing,11720.0,0.0,5421.0
6400,Insurance Expense,146.0,147.0,152.0
6450,Software Expense,3833.0,6030.0,6368.0
6500,Utilities Expense,0.0,10162.0,2761.0
6600,Professional Fees,2805.0,0.0,1303.0
6700,Office Supplies,0.0,1781.0,2043.0
6800,Depreciation Expense,2740.5,2885.5,2718.5
6900,Bank Fees,0.0,0.0,0.0
7100,Interest Income,0.0,0.0,0.0
